SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Sale price,Categories,Tags,Images,Brand
WK-001,Baofeng 1500mAh Battery,1,0,visible,High capacity replacement battery for Baofeng walkie talkies,Compatible with UV-5R UV-82 and other Baofeng models. Long lasting 1500mAh capacity.,1000,800,Walkie Talkie > Accessories,baofeng battery,,Baofeng
WK-002,BAOFENG UV-82 Walkie Talkie,1,1,visible,Dual band dual PTT professional radio,High power 8W output. VHF/UHF dual band. 128 channels. FM radio. LED flashlight.,8200,8000,Walkie Talkie > PMR,baofeng uv-82 dual-band,,Baofeng
WK-003,Iradio CP-268 Walkie Talkie,1,0,visible,Compact professional two-way radio,16 channels. Clear audio quality. Long battery life. Durable construction.,7000,6850,Walkie Talkie > PMR,iradio compact,,Iradio
WK-004,Iradio UV2520 999CH Walkie Talkie,1,1,visible,999 channel capacity professional radio,Dual band VHF/UHF. 999 programmable channels. LCD display. VOX function.,11500,11000,Walkie Talkie > PMR,iradio 999ch,,Iradio
WK-005,Iradio UV2520 Dual Band,1,0,visible,Dual band professional walkie talkie,High power output. Dual band operation. Emergency alarm. Scrambler function.,13500,13000,Walkie Talkie > PMR,iradio dual-band,,Iradio
WK-006,iRadio V2 Plus,1,0,visible,Entry level compact radio,Perfect for short range communication. Easy to use. Lightweight design.,2600,2500,Walkie Talkie > SBR,iradio entry-level,,Iradio
WK-007,Iridium 9555 Satellite Phone,1,1,visible,Global satellite communication phone,Worldwide coverage. SMS capable. GPS tracking. Emergency SOS button.,238000,234950,Walkie Talkie > Satellite Phone,iridium satellite global,,Iridium
WK-008,Kirisun PT558S,1,0,visible,Professional DMR digital radio,Digital and analog modes. Clear audio. Long range. IP54 rated.,12500,12500,Walkie Talkie > PMR,kirisun dmr digital,,Kirisun
WK-009,Motorola GM3188 Base Station,1,1,visible,Professional mobile base station radio,High power mobile radio. 25W output. 16 channels. External antenna support.,47000,45000,Walkie Talkie > Base Station,motorola base-station,,Motorola
WK-010,Motorola GP3688,1,1,visible,Reliable professional portable radio,16 channels. Durable design. Clear audio. Long battery life.,15500,14500,Walkie Talkie > PMR,motorola gp series,,Motorola
WK-011,YANTON T328 Walkie Talkie,1,0,visible,Professional two-way radio,High quality construction. Clear communication. Easy programming.,16000,15200,Walkie Talkie > PMR,yanton professional,,YANTON
PA-001,Ahuja AM-30SS Megaphone,1,1,visible,30W handheld megaphone with siren,Powerful 30W output. Built-in siren. Shoulder strap. Battery operated.,9300,9000,PA System > Analogue PA > Megaphone,ahuja megaphone,,Ahuja
PA-002,Ahuja SSA-160EM Mixer Amplifier,1,0,visible,160W mixer amplifier with echo,5 mic inputs. 2 aux inputs. Built-in echo. USB/SD player.,18500,17500,PA System > Amplifier > Mixer Amplifier,ahuja mixer amplifier,,Ahuja
PA-003,TOA A-1240SS Mixer Amplifier,1,1,visible,240W professional mixer amplifier,High quality sound. Multiple inputs. Zone control. Rack mountable.,22000,21000,PA System > Amplifier > Mixer Amplifier,toa amplifier,,TOA
PA-004,ITC T-6240 Power Amplifier,1,0,visible,240W professional power amplifier,Pure power amplification. Low distortion. Protection circuits.,35000,33000,PA System > Amplifier > Power Amplifier,itc power amplifier,,ITC
PA-005,Ahuja CS-6061T Ceiling Speaker,1,0,visible,6W ceiling speaker with transformer,Fire retardant ABS body. Wide frequency response. Easy installation.,2800,2500,PA System > Analogue PA > Ceiling Speaker,ahuja ceiling speaker,,Ahuja
AC-001,ZKTeco F18 Fingerprint Access,1,1,visible,Standalone fingerprint access controller,3000 fingerprint capacity. Card reader option. TCP/IP. Time attendance.,12000,11500,Access Control > Fingerprint Scanner,zkteco fingerprint,,ZKTeco
AC-002,ZKTeco MB20 Face & Fingerprint,1,1,visible,Multi-biometric access control terminal,Face and fingerprint recognition. 1500 face capacity. Touch screen.,28000,26500,Access Control > Face Recognition,zkteco face recognition,,ZKTeco
AC-003,ZKTeco SpeedFace V5L,1,1,visible,Visible light facial recognition terminal,6000 face capacity. Mask detection. Temperature screening option.,42000,40000,Access Control > Face Recognition,zkteco speedface,,ZKTeco
AC-004,ZKTeco K40 Time Attendance,1,0,visible,Fingerprint time attendance machine,1000 fingerprint capacity. Simple punch in/out. USB backup.,8500,8000,Access Control > Fingerprint Time Attendance,zkteco attendance,,ZKTeco
AC-005,Hikvision DS-K1T341AM Face Terminal,1,0,visible,Face recognition access terminal,5000 face capacity. 2MP camera. Mask detection. Temperature check.,35000,33000,Access Control > Face Recognition,hikvision face,,Hikvision
CC-001,Hikvision DS-2CE16D0T-IRPF HD Camera,1,1,visible,2MP HD bullet camera with IR,1080p resolution. 20m IR range. IP67 weatherproof. 3.6mm lens.,2200,1950,CCTV Surveillance > HD Camera,hikvision hd camera,,Hikvision
CC-002,Dahua HAC-HFW1200TP HD Camera,1,0,visible,2MP HDCVI bullet camera,1080p full HD. 30m IR range. IP67. Smart IR.,2500,2200,CCTV Surveillance > HD Camera,dahua hd camera,,Dahua
CC-003,Hikvision DS-7208HGHI-K1 8CH DVR,1,1,visible,8 channel Turbo HD DVR,H.265+ compression. Up to 4MP recording. 1 SATA. HDMI output.,8500,7800,CCTV Surveillance > DVR,hikvision dvr,,Hikvision
CC-004,Hikvision DS-2CD1043G0-I IP Camera,1,0,visible,4MP network bullet camera,4MP resolution. 30m IR. H.265+. POE. WDR.,6500,5800,CCTV Surveillance > IP Camera,hikvision ip camera,,Hikvision
CC-005,Dahua NVR4108HS-8P-4KS2 8CH NVR,1,1,visible,8 channel 4K NVR with POE,8 POE ports. Up to 8MP resolution. 1 SATA. HDMI 4K output.,22000,20000,CCTV Surveillance > NVR,dahua nvr poe,,Dahua
NW-001,TP-Link TL-SG1008P 8-Port POE Switch,1,0,visible,8-port gigabit POE switch,4 POE ports. 55W POE budget. Plug and play. Fanless design.,5500,5000,Networking > POE Switch,tp-link poe switch,,TP-Link
NW-002,Mikrotik hAP ac2 Router,1,1,visible,Dual-band wireless router,5x Gigabit ports. 2.4GHz and 5GHz. RouterOS. USB port.,7500,7000,Networking > Routers,mikrotik router,,Mikrotik
NW-003,TP-Link TL-SF1008D 8-Port Switch,1,0,visible,8-port 10/100 desktop switch,Fast Ethernet. Energy saving. Compact design. Plug and play.,1200,1000,Networking > Switch,tp-link switch,,TP-Link
IP-001,Grandstream GXP1625 IP Phone,1,1,visible,2-line HD IP phone,2 SIP accounts. HD audio. 3-way conferencing. Dual 10/100 ports.,5500,5000,PABX & IP Phone > IP Phone > Grandstream,grandstream ip phone,,Grandstream
IP-002,Fanvil X3SP IP Phone,1,0,visible,Entry level IP phone,2 SIP lines. HD audio. PoE. Color screen.,4500,4000,PABX & IP Phone > IP Phone > Fanvil,fanvil ip phone,,Fanvil
IP-003,Grandstream GXP2170 IP Phone,1,1,visible,Enterprise HD IP phone,12 lines. 4.3 inch color LCD. Bluetooth. Gigabit ports.,15000,14000,PABX & IP Phone > IP Phone > Grandstream,grandstream enterprise,,Grandstream
SS-001,ZKTeco ZK-D2180 Archway Gate,1,1,visible,Walk-through metal detector,18 zones detection. LCD display. Sensitivity adjustable. Sound/light alarm.,85000,80000,Security Solutions > Archway Gate,zkteco archway detector,,ZKTeco
SS-002,ZKTeco TS2122 Tripod Turnstile,1,1,visible,Tripod turnstile with controller,Bi-directional. Card/fingerprint integration. LED indicators.,65000,60000,Security Solutions > Tripod Turnstile,zkteco turnstile,,ZKTeco
SS-003,ZKTeco FBL2022 Flap Barrier,1,1,visible,High speed flap barrier gate,Bi-directional. Emergency open. Anti-tailgate. Elegant design.,180000,170000,Security Solutions > Flap Barrier,zkteco flap barrier,,ZKTeco
OE-001,KORES Currency Counting Machine,1,0,visible,Note counting machine with UV/MG,1000 notes/min. Fake note detection. LCD display. Batch counting.,18000,16500,Office Equipment > Currency Counter,kores currency counter,,KORES
OE-002,COMIX B3006 Paper Shredder,1,0,visible,Cross cut paper shredder,6 sheets capacity. 15L bin. Cross cut 4x38mm. Auto start/stop.,8500,7800,Office Equipment > Paper Shredder,comix shredder,,COMIX
